latency_ms,cdf
11.3690,0.0102
11.4880,0.0202
11.5580,0.0302
11.6520,0.0402
11.7450,0.0501
11.8420,0.0601
11.9330,0.0701
11.9590,0.0801
11.9770,0.0901
11.9880,0.1000
12.0040,0.1100
12.0250,0.1200
12.0360,0.1300
12.0460,0.1400
12.0530,0.1502
12.0610,0.1602
12.0690,0.1702
12.0770,0.1801
12.0870,0.1901
12.0960,0.2001
12.1020,0.2101
12.1120,0.2201
12.1260,0.2300
12.1480,0.2400
12.1560,0.2500
12.1650,0.2600
12.1740,0.2700
12.1980,0.2799
12.2190,0.2902
12.2350,0.3001
12.2620,0.3101
12.2870,0.3201
12.3240,0.3301
12.3390,0.3401
12.3740,0.3500
12.3910,0.3600
12.4330,0.3700
12.4570,0.3800
12.5010,0.3900
12.5160,0.4000
12.5290,0.4099
12.5360,0.4199
12.5430,0.4301
12.5490,0.4401
12.5540,0.4501
12.5620,0.4601
12.5730,0.4701
12.5790,0.4800
12.5820,0.4900
12.5890,0.5000
12.5960,0.5100
12.6010,0.5200
12.6070,0.5299
12.6150,0.5399
12.6230,0.5499
12.6340,0.5599
12.6380,0.5699
12.6490,0.5801
12.6600,0.5901
12.6720,0.6000
12.6790,0.6100
12.6870,0.6200
12.6950,0.6300
12.7050,0.6400
12.7090,0.6500
12.7210,0.6599
12.7370,0.6699
12.7600,0.6799
12.7890,0.6899
12.8060,0.6999
12.8490,0.7098
12.8660,0.7201
12.8830,0.7300
12.9330,0.7400
12.9710,0.7500
13.0190,0.7600
13.0570,0.7700
13.0790,0.7799
13.1050,0.7899
13.1250,0.7999
13.1490,0.8099
13.1630,0.8199
13.1870,0.8298
13.2190,0.8398
13.2350,0.8498
13.2580,0.8600
13.2760,0.8700
13.3000,0.8800
13.3530,0.8900
13.3840,0.9000
13.4330,0.9099
13.5210,0.9199
13.6050,0.9299
13.6670,0.9399
13.7060,0.9499
13.8170,0.9598
13.9140,0.9698
14.4180,0.9798
15.2410,0.9898
27.1460,1.0000
